,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-03-31,46.36,46.13,46.86,45.62,11832055.0,15002.5951
2022-04-01,45.78,46.51,46.8,45.57,9768895.0,14814.9008
2022-04-04,45.53,45.43,46.005,44.33,8878189.0,14733.9981
2022-04-05,44.71,45.69,46.0394,44.08,12020442.0,14468.6373
2022-04-06,43.07,43.255,43.7,41.46,15403050.0,13937.9156
2022-04-07,42.4,42.83,42.86,41.08,11385899.0,13721.0964
2022-04-08,41.96,42.27,42.7709,41.6,9124070.0,13578.7077
2022-04-11,42.42,41.22,43.46,41.21,10624311.0,13727.5687
2022-04-12,42.73,42.57,43.32,41.79,9933290.0,13827.888
2022-04-13,45.14,44.709,45.38,44.01,16966570.0,14607.7899
2022-04-14,45.13,45.49,46.51,45.035,12314943.0,14604.5538
2022-04-18,43.97,44.18,44.96,43.46,12677432.0,14366.268
2022-04-19,45.95,44.52,46.14,44.48,13667408.0,15013.1912
2022-04-20,46.52,46.365,46.94,45.75,19528658.0,15199.4266
2022-04-21,50.85,50.44,52.455,50.23,42225042.0,16614.1626
2022-04-22,51.46,52.01,53.115,51.12,23701358.0,16813.4672
2022-04-25,51.3,51.01,51.68,49.734,16254043.0,16761.1906
2022-04-26,48.86,50.74,51.057,48.61,16046062.0,15963.9721
2022-04-27,50.28,48.75,50.51,48.18,13381891.0,16427.9271
2022-04-28,51.82,50.7,51.955,49.93,12786695.0,16931.0896
2022-04-29,50.5,51.385,52.48,50.31,10699197.0,16499.8075
2022-05-02,50.19,50.49,50.83,48.7,13391949.0,16398.5215
2022-05-03,51.38,50.39,51.8,49.65,12214872.0,16787.3289
2022-05-04,51.9,51.01,52.13,50.07,12953220.0,16957.2279
2022-05-05,48.9,50.975,51.73,48.47,15536286.0,15977.0413
2022-05-06,47.52,48.81,48.95,46.5,13824524.0,15526.1555
2022-05-09,43.31,46.56,46.8766,42.92,16391930.0,14150.627
2022-05-10,44.12,44.2,44.85,43.075,14104721.0,14415.2773
2022-05-11,43.18,43.905,45.98,42.935,15388033.0,14108.1522
2022-05-12,41.5,42.252,42.82,40.11,19112440.0,13559.2477
2022-05-13,43.27,42.345,43.6408,42.19,13874689.0,14137.5578
2022-05-16,43.54,43.17,44.6,42.98,9832062.0,14225.7746
2022-05-17,46.97,45.42,47.1,45.3999,13756398.0,15346.4546
2022-05-18,44.63,46.21,47.155,44.27,12138067.0,14581.9091
2022-05-19,44.21,43.94,45.355,43.87,10157806.0,14444.6829
2022-05-20,43.55,45.0,45.27,42.26,12924345.0,14229.0419
2022-05-23,44.76,44.14,45.11,43.36,10144063.0,14624.3838
2022-05-24,41.57,43.65,43.99,41.0,13328459.0,13582.1188
2022-05-25,43.08,41.41,43.235,41.225,11007489.0,14075.4793
2022-05-26,46.07,43.733,46.64,43.64,13895967.0,15052.3986
2022-05-27,48.41,46.42,48.63,46.4,10995204.0,15816.9442
2022-05-31,47.63,46.79,48.5,46.31,16931823.0,15562.0956
2022-06-01,45.49,48.23,48.31,44.58,12460216.0,14862.8959
2022-06-02,45.77,45.44,46.0939,44.0,8383486.0,14954.38
2022-06-03,44.43,44.84,44.905,43.415,10413092.0,14516.5633
2022-06-06,44.76,45.02,45.38,44.1333,7860189.0,14624.3838
