,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-10-31,157.18,150.19,159.14,148.36,2151745.0,18614.513
2017-11-01,152.58,157.25,157.64,151.43,1937438.0,18069.7442
2017-11-02,156.1,153.31,156.55,152.06,1195050.0,18486.6108
2017-11-03,154.53,155.09,156.18,153.8,715420.0,18300.6788
2017-11-06,164.42,158.52,167.44,158.21,2398861.0,19471.9318
2017-11-07,165.65,163.99,165.88,162.56,1369538.0,19470.9446
2017-11-08,169.5,165.0,170.53,165.0,878075.0,19923.4839
2017-11-09,169.51,169.11,170.815,168.12,886155.0,19924.6593
2017-11-10,168.95,167.81,169.74,166.678,698777.0,19858.8354
2017-11-13,165.2,169.72,170.2,164.94,1945473.0,19418.0504
2017-11-14,165.53,164.97,166.69,163.16,1487951.0,19456.8395
2017-11-15,165.3,164.61,165.86,162.07,1361077.0,19429.8047
2017-11-16,164.67,166.13,168.13,164.48,903073.0,19355.7528
2017-11-17,165.21,164.25,165.92,163.24,1063889.0,19419.2258
2017-11-20,165.68,164.8,166.295,164.63,692910.0,19474.4709
2017-11-21,167.83,166.21,168.09,165.49,1048357.0,19727.1876
2017-11-22,166.98,167.75,168.37,166.0,481543.0,19627.2764
2017-11-24,169.72,167.8,171.29,167.54,568187.0,19949.3433
2017-11-27,172.35,171.0,172.93,170.67,1134551.0,20258.4806
2017-11-28,172.09,172.6,173.97,171.9,1005082.0,20227.9195
2017-11-29,169.76,171.66,172.055,167.74,1285172.0,19954.045
2017-11-30,169.75,170.52,171.0,167.59,1372090.0,19952.8696
2017-12-01,169.16,169.8,170.64,167.73,807419.0,19883.5194
2017-12-04,162.2,169.15,169.205,162.12,914920.0,19065.4224
2017-12-05,163.87,161.73,165.87,161.23,1246678.0,19261.7186
2017-12-06,166.4,163.91,166.73,162.835,623815.0,19559.1016
2017-12-07,166.68,166.09,166.97,165.14,1232881.0,19592.0136
2017-12-08,165.19,167.0,167.81,164.82,564909.0,19416.875
2017-12-11,166.61,165.5,166.8,164.29,1090649.0,19583.7856
2017-12-12,165.67,167.54,167.86,164.93,878611.0,19473.2955
2017-12-13,165.43,166.4,167.59,165.05,954375.0,19445.0852
2017-12-14,165.8,165.12,167.64,164.54,1046074.0,19488.576
2017-12-15,163.68,166.74,166.74,162.23,1995854.0,19239.3855
2017-12-18,161.79,163.81,164.78,160.39,1217455.0,19017.2299
2017-12-19,157.99,161.78,162.7,157.88,1747108.0,18570.5677
2017-12-20,157.98,158.53,159.269,156.14,1205752.0,18569.3923
2017-12-21,157.84,158.73,160.14,157.66,764606.0,18552.9363
2017-12-22,160.22,157.25,160.43,156.02,603270.0,18832.6879
2017-12-26,159.82,159.52,161.69,159.37,364016.0,18785.6708
2017-12-27,161.26,160.71,161.82,159.82,568991.0,18954.9323
2017-12-28,163.0,161.08,163.35,160.4,508709.0,19159.4565
2017-12-29,163.36,163.56,164.74,162.52,592483.0,19201.7719
2018-01-02,160.63,163.08,164.58,160.41,931554.0,18880.8804
2018-01-03,162.64,159.77,163.0,159.35,773311.0,19117.1411
2018-01-04,161.75,162.83,163.81,161.07,1055801.0,19012.5282
2018-01-05,162.87,162.53,163.64,162.075,826889.0,19144.176
2018-01-08,162.89,163.24,163.94,162.57,827888.0,19146.5268
2018-01-09,163.55,162.92,164.24,162.66,684219.0,19224.105
2018-01-10,160.89,163.03,163.62,157.75,915018.0,18911.4415
2018-01-11,157.5,161.39,161.39,156.27,959778.0,18512.9718
2018-01-12,155.94,157.01,157.74,154.95,877607.0,18329.6052
2018-01-16,159.85,157.48,162.79,157.0,1412813.0,18789.1971
2018-01-17,161.47,159.72,162.98,159.7,751060.0,18979.6162
2018-01-18,161.65,160.89,162.51,159.87,1441198.0,19000.7739
2018-01-19,165.79,161.8,165.98,161.15,1618038.0,19487.4006
2018-01-22,167.65,165.55,167.89,164.815,1027730.0,19706.03
2018-01-23,168.25,168.16,169.15,166.58,834732.0,19776.5556
2018-01-24,168.95,168.25,169.68,167.86,627455.0,19858.8354
2018-01-25,170.29,168.89,170.71,168.7,1038098.0,20016.3426
2018-01-26,172.28,171.15,172.63,169.78,802505.0,20250.2526
2018-01-29,169.52,171.83,173.0,169.29,789670.0,19925.8348
2018-01-30,169.71,169.03,170.17,166.97,1159840.0,19948.1679
2018-01-31,174.5,170.27,176.0,169.75,1399234.0,20511.1973
2018-02-01,174.73,174.41,177.67,170.01,1340868.0,20538.2321
2018-02-02,173.21,173.27,174.91,171.43,777709.0,20359.5673
2018-02-05,168.27,173.25,174.21,168.17,1335969.0,19778.9064
2018-02-06,166.0,166.84,168.54,162.631,2522737.0,19512.0845
2018-02-07,166.51,165.15,168.6,165.15,1075498.0,19572.0313
2018-02-08,159.85,166.59,168.49,159.75,1271652.0,18789.1971
2018-02-09,159.73,160.6,162.79,154.36,1305784.0,18775.092
2018-02-12,159.63,160.25,161.72,157.26,1271735.0,18763.3377
2018-02-13,161.42,159.1,162.11,158.73,1249074.0,18973.7391
2018-02-14,162.56,159.58,163.38,157.44,1392428.0,19107.7377
2018-02-15,167.1,162.89,167.64,160.08,1146682.0,19641.3815
2018-02-16,169.12,166.75,170.17,165.09,1438222.0,19878.8177
2018-02-20,169.72,168.07,170.73,168.07,818994.0,19949.3433
2018-02-21,169.5,169.43,172.525,168.96,1210182.0,19923.4839
2018-02-22,171.12,170.43,173.54,170.0,1011966.0,20113.9031
2018-02-23,172.93,172.08,173.56,171.312,887474.0,20326.6553
2018-02-26,172.73,172.92,174.22,171.81,1298391.0,20303.1468
2018-02-27,163.2,161.82,170.0,160.511,2728610.0,19003.9872
2018-02-28,157.27,163.88,165.04,157.14,1996467.0,18313.4624
2018-03-01,154.96,157.57,157.57,153.88,1396025.0,18054.0591
2018-03-02,152.91,153.51,155.12,151.98,1626975.0,17815.2179
2018-03-05,156.68,152.14,156.99,151.425,1335908.0,18254.4526
2018-03-06,156.5,157.33,158.15,155.45,1078472.0,18233.4812
2018-03-07,158.77,156.01,159.39,156.01,1347150.0,18497.954
2018-03-08,164.21,158.83,164.38,156.271,1129002.0,19131.7568
2018-03-09,166.49,164.46,166.59,163.58,1120928.0,19397.3948
2018-03-12,168.91,166.92,169.26,166.16,784388.0,19679.3438
2018-03-13,170.34,169.78,170.575,168.65,1039549.0,19845.9501
2018-03-14,170.23,170.25,170.6,168.7,999427.0,19833.1342
2018-03-15,169.8,170.75,171.38,167.96,909103.0,19783.0358
2018-03-16,168.69,169.66,170.67,167.29,1168713.0,19653.7121
2018-03-19,168.96,168.7,169.71,167.46,1176864.0,19685.1692
2018-03-20,169.33,169.03,171.11,168.98,1368652.0,19728.2771
2018-03-21,167.09,169.93,171.04,166.73,1103072.0,19467.2995
2018-03-22,169.41,166.18,171.86,165.49,1316928.0,19737.5977
2018-03-23,168.87,169.39,172.57,167.98,1312817.0,19674.6835
2018-03-26,173.43,170.45,173.58,168.54,802432.0,20205.9594
2018-03-27,170.1,173.3,175.0,169.49,1296425.0,19817.9882
2018-03-28,170.46,170.55,172.12,168.57,868015.0,19859.931
2018-03-29,170.92,170.83,172.645,169.24,1144376.0,19913.5246
2018-04-02,169.12,171.15,172.77,167.805,972367.0,19703.8105
2018-04-03,168.67,169.97,170.51,166.26,1047604.0,19651.3819
2018-04-04,170.34,167.45,171.25,167.16,672638.0,19833.1322
2018-04-05,171.69,170.89,173.14,170.18,690352.0,19990.3162
2018-04-06,169.73,171.16,172.99,168.66,849631.0,19762.1083
2018-04-09,171.58,170.1,172.83,169.99,810884.0,19977.5086
2018-04-10,163.07,172.84,173.85,156.42,5488194.0,18986.667
2018-04-11,164.39,161.91,166.87,160.0,1557319.0,19140.3581
2018-04-12,164.45,165.35,166.98,161.42,1461018.0,19147.344
2018-04-13,164.54,165.15,165.16,163.25,1067553.0,19157.823
2018-04-16,166.15,165.11,167.7,163.135,692548.0,19345.2795
2018-04-17,167.77,166.52,169.57,165.451,880513.0,19533.9003
2018-04-18,167.84,167.26,168.5,166.54,640673.0,19542.0506
2018-04-19,165.61,167.0,167.0,163.37,1031295.0,19282.4059
2018-04-20,165.69,166.06,168.93,165.02,765139.0,19291.7205
2018-04-23,165.82,165.57,166.95,164.98,780812.0,19306.8567
2018-04-24,164.93,166.85,169.01,164.37,1112002.0,19203.2317
2018-04-25,164.49,163.95,165.26,163.42,1138558.0,19152.0013
2018-04-26,165.22,165.51,166.64,164.5,1031060.0,19236.9971
2018-04-27,158.95,161.91,162.9,156.58,1825469.0,18506.9646
2018-04-30,160.23,158.65,161.935,157.81,1846014.0,18655.9984
2018-05-01,157.5,161.84,161.84,153.76,1879989.0,18344.34
2018-05-02,155.85,155.8,156.89,151.244,1592692.0,18152.1612
2018-05-03,156.16,155.87,157.08,154.21,992503.0,18188.2675
2018-05-04,159.14,156.24,159.6,155.76,696903.0,18535.3541
2018-05-07,157.6,158.99,160.26,157.14,653396.0,18153.3076
2018-05-08,157.4,156.7,157.73,155.49,877021.0,18130.2704
2018-05-09,158.94,157.32,159.21,156.53,482004.0,18307.6568
2018-05-10,161.95,159.57,162.86,159.15,791549.0,18654.3665
2018-05-11,160.1,162.14,163.13,159.6,760317.0,18441.2725
2018-05-14,157.99,160.28,161.005,157.49,648202.0,18198.2301
2018-05-15,157.67,156.91,158.18,155.8,874881.0,18161.3706
2018-05-16,157.75,157.76,158.07,156.63,514952.0,18170.5855
2018-05-17,157.51,158.1,158.516,155.99,526331.0,18142.9409
2018-05-18,157.69,157.54,159.45,156.1,961249.0,18163.6743
2018-05-21,159.77,157.88,160.31,157.08,593719.0,18403.2611
2018-05-22,157.29,159.79,159.79,156.48,891611.0,18117.6
2018-05-23,157.95,156.68,158.03,156.01,589382.0,18193.6227
2018-05-24,156.8,158.22,158.28,155.83,602927.0,18061.1588
