,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-06-27,55.65,20766.5723,3086550.0
2019-06-28,56.06,20919.5695,9041928.0
2019-07-01,56.69,21154.6627,3312872.0
2019-07-02,55.82,20830.0101,5238234.0
2019-07-03,56.47,21072.5667,3115936.0
2019-07-05,56.8,21195.7108,2195219.0
2019-07-08,55.06,20546.4055,3868980.0
2019-07-09,55.07,20550.1372,4649158.0
2019-07-10,54.42,20307.5806,3311266.0
2019-07-11,55.04,20538.9423,3941431.0
2019-07-12,55.19,20594.9169,5110376.0
2019-07-15,55.45,20691.9395,4918382.0
2019-07-16,54.82,20456.8462,2571852.0
2019-07-17,54.59,20371.0185,6176281.0
2019-07-18,56.29,21005.3972,4840077.0
2019-07-19,60.08,22419.6884,6409723.0
2019-07-22,59.23,22067.4764,3350779.0
2019-07-23,59.9,22317.1001,3321498.0
2019-07-24,59.6,22205.3283,2749991.0
2019-07-25,59.48,22160.6196,3228508.0
2019-07-26,60.37,22492.6246,2357753.0
2019-07-29,59.13,22030.626,3807850.0
2019-07-30,58.88,21937.4811,3054224.0
2019-07-31,58.09,21643.1433,3040248.0
2019-08-01,55.59,20711.6946,3983381.0
2019-08-02,55.66,20737.7751,2670322.0
2019-08-05,53.8,20044.7773,4399027.0
2019-08-06,53.5,19933.0034,2845723.0
2019-08-07,52.5,19560.4239,3283833.0
2019-08-08,53.41,19899.4713,2027533.0
2019-08-09,52.96,19731.8105,3479432.0
2019-08-12,51.57,19213.925,5257708.0
2019-08-13,51.47,19176.667,2355888.0
2019-08-14,49.63,18491.1207,3106590.0
2019-08-15,48.81,18185.6055,2996017.0
2019-08-16,50.2,18703.4911,2323883.0
2019-08-19,50.89,18960.5709,3245866.0
2019-08-20,50.51,18818.9907,2383495.0
2019-08-21,50.54,18830.1681,2516341.0
2019-08-22,51.14,19053.7158,2212367.0
2019-08-23,49.96,18614.072,3522474.0
2019-08-26,49.82,18561.9108,2335499.0
2019-08-27,49.4,18405.4274,2355424.0
2019-08-28,49.81,18558.185,3137539.0
2019-08-29,51.28,19105.8769,2637850.0
2019-08-30,51.31,19117.0543,2669254.0
2019-09-03,49.64,18494.8465,2245909.0
2019-09-04,50.88,18956.8451,3122646.0
2019-09-05,52.47,19549.2465,3784101.0
2019-09-06,51.84,19314.5214,3137503.0
2019-09-09,54.0,20119.2932,3529501.0
2019-09-10,58.84,21922.578,8119276.0
2019-09-11,60.0,22354.7702,3938262.0
2019-09-12,60.27,22455.3666,3578563.0
2019-09-13,61.15,22783.2366,2413906.0
2019-09-16,60.51,22544.7857,2277966.0
2019-09-17,60.22,22436.7377,2114679.0
2019-09-18,60.48,22533.6083,1765464.0
2019-09-19,61.1,22764.6076,1838417.0
2019-09-20,60.11,22395.7539,3336856.0
2019-09-23,60.19,22425.5603,1836256.0
2019-09-24,59.04,21997.0939,1862899.0
2019-09-25,59.8,22280.2543,1747985.0
2019-09-26,59.05,22000.8197,1914016.0
2019-09-27,59.8,22280.2543,1590327.0
2019-09-30,59.19,22052.9808,1955740.0
2019-10-01,56.87,21188.5963,2096011.0
2019-10-02,55.59,20711.6946,1286121.0
2019-10-03,55.78,20782.4847,1828073.0
2019-10-04,56.87,21188.5963,2600358.0
2019-10-07,56.28,20968.7744,1707575.0
2019-10-08,55.15,20547.7596,2174515.0
2019-10-09,55.66,20737.7751,1425576.0
2019-10-10,56.83,21173.6932,1915617.0
2019-10-11,58.7,21870.4168,2196383.0
2019-10-14,58.49,21792.1751,1223584.0
2019-10-15,59.38,22123.7709,2156001.0
2019-10-16,59.11,22023.1744,1801677.0
2019-10-17,59.7,22242.9963,2102455.0
2019-10-18,63.34,23599.1857,5023523.0
2019-10-21,65.4,24366.6995,3121278.0
2019-10-22,66.05,24608.8762,2347526.0
2019-10-23,65.92,24560.4408,2460961.0
2019-10-24,65.21,24295.9094,1557594.0
2019-10-25,65.75,23908.231,1610759.0
2019-10-28,67.12,24406.3949,2098074.0
2019-10-29,67.21,24439.121,1872685.0
2019-10-30,66.72,24260.9456,1524104.0
