,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-12-10,173.78,44410.8753,907149.0
2018-12-11,173.23,44270.3184,1023565.0
2018-12-12,175.45,44837.6572,904998.0
2018-12-13,173.42,44318.8744,971193.0
2018-12-14,170.06,43460.1994,916918.0
2018-12-17,166.17,42466.0787,1765072.0
2018-12-18,163.43,41765.8497,1593169.0
2018-12-19,158.66,40546.8378,1877594.0
2018-12-20,161.3,41221.511,2213260.0
2018-12-21,156.5,39994.8325,2677605.0
2018-12-24,151.91,38821.8211,1158155.0
2018-12-26,161.84,41359.5124,1638369.0
2018-12-27,162.37,41494.9581,1485000.0
2018-12-28,161.42,41252.178,966721.0
2018-12-31,165.71,42348.522,1375410.0
2019-01-02,164.08,41931.9624,1465350.0
2019-01-03,163.73,41842.5171,1690854.0
2019-01-04,172.7,44134.8726,1874533.0
2019-01-07,175.85,44939.8805,1294712.0
2019-01-08,178.19,45537.8863,1653229.0
2019-01-09,182.3,46588.2298,2298518.0
2019-01-10,186.03,47541.4613,1988432.0
2019-01-11,188.16,48085.7999,2222560.0
2019-01-14,183.91,46999.6782,1962008.0
2019-01-15,186.68,47707.574,1330425.0
2019-01-16,186.15,47572.1282,2251237.0
2019-01-17,190.52,48688.9168,1605860.0
2019-01-18,194.7,49757.1494,2149793.0
2019-01-22,193.88,49547.5918,2003881.0
2019-01-23,189.89,48527.9153,2043144.0
2019-01-24,186.58,47682.0182,1825062.0
2019-01-25,189.5,48428.2476,1404751.0
2019-01-28,188.09,48067.9108,1513518.0
2019-01-29,186.38,47630.9066,1024572.0
2019-01-30,187.05,47802.1304,1385987.0
2019-01-31,190.91,48788.5845,900773.0
2019-02-01,191.52,48944.4749,893008.0
2019-02-04,187.98,48039.7994,1482263.0
2019-02-05,187.02,47722.2674,1643480.0
2019-02-06,182.39,46540.8211,1915715.0
2019-02-07,180.18,45976.891,1462546.0
2019-02-08,181.34,46272.8905,980716.0
2019-02-11,181.53,46321.3732,2037038.0
2019-02-12,184.01,46954.1997,1316645.0
