,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-04-02,20.89,1070.8262,188362.0
2020-04-03,20.18,1034.4314,287458.0
2020-04-06,20.21,1035.9692,247799.0
2020-04-07,20.28,1039.5574,303132.0
2020-04-08,20.93,1072.8766,200333.0
2020-04-09,21.48,1101.0697,228234.0
2020-04-13,21.29,1091.3303,178720.0
2020-04-14,21.9,1122.599,153041.0
2020-04-15,21.61,1107.7335,169014.0
2020-04-16,21.6,1107.2209,177433.0
2020-04-17,21.77,1115.9352,178105.0
2020-04-20,21.69,1111.8343,111629.0
2020-04-21,20.98,1089.1903,115605.0
2020-04-22,21.46,1114.1098,102160.0
2020-04-23,21.62,1122.4163,207368.0
2020-04-24,21.7,1126.5695,207009.0
2020-04-27,22.23,1154.0848,232246.0
2020-04-28,22.77,1182.1193,332725.0
2020-04-29,23.47,1218.4602,204199.0
2020-04-30,22.9,1188.8683,216698.0
2020-05-01,22.23,1154.0848,124498.0
2020-05-04,22.33,1159.2764,237487.0
2020-05-05,22.47,1166.5446,291655.0
2020-05-06,22.02,1143.1825,169540.0
2020-05-07,22.38,1161.8722,552665.0
2020-05-08,25.42,1319.6957,751258.0
2020-05-11,25.65,1331.8415,332329.0
2020-05-12,23.98,1245.129,367819.0
2020-05-13,23.29,1209.3017,293169.0
2020-05-14,23.35,1212.4171,202913.0
2020-05-15,23.29,1209.3017,232321.0
2020-05-18,24.41,1267.4562,310088.0
2020-05-19,24.79,1287.1872,336953.0
2020-05-20,25.6,1329.2453,227166.0
2020-05-21,25.16,1306.3989,218988.0
2020-05-22,24.7,1282.5141,298220.0
2020-05-26,25.3,1313.6682,281853.0
2020-05-27,25.89,1344.3032,378056.0
2020-05-28,25.33,1315.226,209026.0
2020-05-29,25.96,1347.9379,776890.0
2020-06-01,26.55,1378.5728,344913.0
2020-06-02,27.46,1425.8233,499626.0
2020-06-03,27.73,1439.8427,388587.0
2020-06-04,27.75,1440.8812,381373.0
2020-06-05,28.61,1485.5355,609941.0
2020-06-08,29.71,1542.6515,911696.0
2020-06-09,29.62,1537.9784,388689.0
2020-06-10,29.1,1510.9781,358871.0
2020-06-11,28.02,1454.9006,765058.0
2020-06-12,29.22,1517.2089,419613.0
2020-06-15,31.29,1624.6909,1543850.0
2020-06-16,31.15,1617.4216,843527.0
2020-06-17,31.77,1649.6142,1673298.0
2020-06-18,31.42,1631.441,1293580.0
2020-06-19,32.31,1677.653,4284257.0
2020-06-22,31.03,1611.1907,1182615.0
2020-06-23,31.27,1623.6524,1397388.0
2020-06-24,30.61,1589.3828,643834.0
2020-06-25,31.03,1611.1907,948973.0
2020-06-26,28.12,1460.0929,6582702.0
2020-06-29,28.24,1466.3238,625436.0
2020-06-30,28.39,1474.1123,1040306.0
2020-07-01,27.94,1450.7467,792172.0
2020-07-02,27.48,1426.8618,420774.0
2020-07-06,27.95,1451.2659,488949.0
