,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2023-06-01,88.88,84.875,89.162,84.79,3646920.0,29033.8907
2023-06-02,87.54,88.66,89.05,87.27,3225572.0,28596.161
2023-06-05,87.51,87.82,88.81,87.18,1819035.0,28586.3611
2023-06-06,89.55,87.14,89.89,87.14,2311537.0,29252.7556
2023-06-07,90.81,89.55,90.88,89.13,2452135.0,29664.3521
2023-06-08,92.3,91.49,92.4678,91.06,3075697.0,30151.0814
2023-06-09,93.29,92.3,93.77,92.0895,2530126.0,30474.4787
2023-06-12,93.75,93.0,94.02,92.88,1720675.0,30624.7441
2023-06-13,94.25,93.96,95.33,93.59,2429899.0,30788.0761
2023-06-14,93.2,94.53,95.0,92.77,2573214.0,30445.0789
2023-06-15,93.46,93.72,93.75,92.96,3712292.0,30530.0116
2023-06-16,92.89,93.59,94.52,92.74,4963362.0,30343.8131
2023-06-20,91.99,93.13,93.36,91.89,1848651.0,30049.8156
2023-06-21,90.5,90.88,91.035,89.185,2684868.0,29563.0863
2023-06-22,89.25,90.5,90.685,87.865,3205645.0,29154.7564
2023-06-23,90.36,89.64,90.7,89.12,2875874.0,29517.3533
2023-06-26,90.63,90.25,91.2,89.69,1890481.0,29605.5526
2023-06-27,90.85,90.97,91.015,89.98,1472912.0,29677.4187
2023-06-28,90.55,90.9,90.9,89.71,1605448.0,29579.4195
2023-06-29,90.87,90.51,91.345,90.14,1738753.0,29683.952
2023-06-30,91.55,92.05,92.29,91.04,2667050.0,29906.0834
2023-07-03,91.6,91.01,91.74,90.33,1089148.0,29922.4166
2023-07-05,92.14,91.42,93.21,91.35,2087275.0,30098.8152
2023-07-06,91.0,91.47,91.47,89.85,2263325.0,29726.4183
2023-07-07,91.33,91.0,91.71,90.66,1334025.0,29834.2174
2023-07-10,93.6,91.38,93.63,91.38,1539399.0,30575.7445
2023-07-11,94.36,93.84,94.43,92.86,1260944.0,30824.0091
2023-07-12,96.06,94.94,96.16,94.08,1532735.0,31379.3378
2023-07-13,95.27,95.85,96.07,94.88,1462439.0,31121.2733
2023-07-14,95.0,94.89,95.535,94.6993,1260094.0,31033.074
2023-07-17,96.18,94.47,96.92,94.47,1951449.0,31418.5375
2023-07-18,95.37,96.0,96.65,93.89,1925349.0,31153.9397
2023-07-19,94.73,94.83,95.54,93.93,1785290.0,30944.8748
2023-07-20,96.89,95.5,97.32,95.24,1600295.0,31650.4689
2023-07-21,96.6,97.58,98.15,96.31,5081249.0,31555.7363
2023-07-24,96.55,96.6,96.81,95.76,1077838.0,31539.4031
2023-07-25,97.52,95.95,98.16,95.9,854831.0,31856.2671
2023-07-26,97.34,96.67,98.24,96.67,1242977.0,31797.4676
2023-07-27,95.42,97.73,97.75,95.2,897917.0,31170.2729
