,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-08-06,34.4,9991.3706,51250743.0
2020-08-07,34.33,9971.0393,30394464.0
2020-08-10,37.54,10903.3736,48876392.0
2020-08-11,36.83,10697.1563,56549341.0
2020-08-12,36.4,10572.2642,35005417.0
2020-08-13,35.81,10400.9006,35460092.0
2020-08-14,36.18,10508.3659,28384144.0
2020-08-17,34.4,9991.3706,22574255.0
2020-08-18,33.98,9869.3829,19070273.0
2020-08-19,34.44,10002.9884,40587931.0
2020-08-20,34.05,9889.7142,28196951.0
2020-08-21,33.04,9596.3629,22730340.0
2020-08-24,36.32,10549.0285,50533589.0
2020-08-25,35.22,10229.537,39748269.0
2020-08-26,34.25,9947.8036,23414509.0
2020-08-27,36.22,10519.9838,51046519.0
2020-08-28,37.34,10865.3378,35228929.0
2020-08-31,36.0,10475.4194,27114238.0
2020-09-01,36.01,10478.3293,29757267.0
2020-09-02,36.89,10734.3951,26622811.0
2020-09-03,37.4,10882.7969,53966447.0
2020-09-04,38.21,11118.4938,33121590.0
2020-09-08,37.28,10847.8788,33207116.0
2020-09-09,36.03,10484.1489,25407620.0
2020-09-10,36.45,10606.3622,24905319.0
2020-09-11,36.07,10495.7883,19198709.0
2020-09-14,36.74,10690.7475,18939876.0
2020-09-15,36.8,10708.2065,21378239.0
2020-09-16,38.3,11144.6823,33301841.0
2020-09-17,38.355,11160.6864,31339682.0
2020-09-18,36.97,10757.6738,32772794.0
2020-09-21,33.79,9832.3451,29900929.0
2020-09-22,34.07,9913.8206,16700552.0
2020-09-23,33.08,9625.7465,21576925.0
2020-09-24,32.74,9526.812,24638809.0
2020-09-25,34.2,9951.6485,21461109.0
2020-09-28,35.94,10457.9604,34828066.0
2020-09-29,34.51,10041.8535,25029773.0
2020-09-30,34.75,10111.6896,29441351.0
2020-10-01,35.18,10236.8127,18972215.0
2020-10-02,36.01,10478.3293,35080985.0
2020-10-05,36.2,10533.6162,18046415.0
2020-10-06,34.88,10149.5175,28719027.0
2020-10-07,36.38,10585.9933,27677310.0
2020-10-08,37.0,10766.4033,28333465.0
2020-10-09,37.12,10801.3214,25311770.0
2020-10-12,36.38,10585.9933,20202572.0
2020-10-13,35.26,10260.0914,17302985.0
2020-10-14,35.61,10361.9357,15064442.0
