,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-05-13,38.71,28819.5176,3491632.0
2022-05-16,38.18,28424.9336,4031139.0
2022-05-17,39.38,29318.3312,3098610.0
2022-05-18,37.92,28231.3642,3934958.0
2022-05-19,37.86,28186.6943,3988358.0
2022-05-20,37.63,28015.4597,5940542.0
2022-05-23,38.23,28462.1585,5436090.0
2022-05-24,37.55,27955.8999,5765863.0
2022-05-25,38.49,28655.728,5112317.0
2022-05-26,38.94,28990.7521,3980872.0
2022-05-27,40.34,30033.0493,3788452.0
2022-05-31,39.52,29422.561,13253066.0
2022-06-01,38.71,28819.5176,4480181.0
2022-06-02,38.72,28826.9626,5707080.0
2022-06-03,38.34,28544.0533,3596964.0
2022-06-06,38.94,28990.7521,4305650.0
2022-06-07,39.08,29094.9818,3090552.0
2022-06-08,38.37,28566.3883,3939176.0
2022-06-09,37.84,28171.8043,4963851.0
2022-06-10,35.83,26675.3633,6654425.0
2022-06-13,34.27,25513.9465,6324516.0
2022-06-14,34.42,25625.6212,4718232.0
2022-06-15,34.51,25692.626,6357506.0
2022-06-16,32.77,24397.1995,5592895.0
2022-06-17,32.99,24560.989,10721690.0
2022-06-21,33.44,24896.0131,4117106.0
2022-06-22,33.26,24762.0035,3753515.0
2022-06-23,33.29,24784.3384,3637170.0
2022-06-24,34.33,25558.6163,5556127.0
2022-06-27,33.89,25231.0372,3881835.0
2022-06-28,33.39,24858.7882,3552699.0
2022-06-29,33.04,24598.2139,3380022.0
2022-06-30,33.12,24657.7738,4702578.0
2022-07-01,33.98,25298.042,4273883.0
2022-07-05,34.2,25461.8316,3947258.0
2022-07-06,33.93,25260.8171,3672585.0
2022-07-07,34.48,25670.291,3176792.0
2022-07-08,35.01,26064.875,3459444.0
2022-07-11,34.68,25819.1906,3094457.0
2022-07-12,34.61,25767.0758,4908131.0
2022-07-13,34.82,25923.4204,3846115.0
2022-07-14,34.36,25580.9513,5043368.0
2022-07-15,34.78,25893.6404,15032262.0
2022-07-18,34.32,25551.1714,3920277.0
2022-07-19,35.16,26176.5497,6325892.0
2022-07-20,35.19,26198.8846,3673679.0
2022-07-21,35.5,26429.679,3492589.0
2022-07-22,35.51,26437.124,3389229.0
2022-07-25,35.46,26399.8991,4514807.0
2022-07-26,35.09,26124.4348,3580933.0
2022-07-27,35.76,26623.2485,3265456.0
2022-07-28,36.37,27077.3923,3787062.0
2022-07-29,36.32,27040.1674,3457453.0
2022-08-01,36.9,27317.6235,3383404.0
2022-08-02,35.87,26555.0991,3388722.0
2022-08-03,35.53,26303.392,3168935.0
2022-08-04,35.19,26051.6849,2488274.0
2022-08-05,35.12,25999.8628,2794162.0
2022-08-08,35.6,26355.214,2458641.0
2022-08-09,35.23,26081.2974,2829540.0
2022-08-10,36.08,26710.5652,2560032.0
2022-08-11,36.43,26969.6755,2393298.0
2022-08-12,36.89,27310.2204,1697288.0
2022-08-15,36.95,27354.6393,2438815.0
2022-08-16,37.09,27458.2834,3939776.0
2022-08-17,36.58,27080.7227,2744714.0
2022-08-18,36.7,27169.5605,1636851.0
2022-08-19,36.2,26799.403,2174417.0
2022-08-22,35.34,26162.7321,2704886.0
2022-08-23,35.51,26288.5857,1926099.0
2022-08-24,36.01,26658.7432,3408700.0
2022-08-25,36.62,27110.3353,1920359.0
2022-08-26,35.38,26192.3447,2757594.0
2022-08-29,34.83,25785.1715,2687697.0
2022-08-30,33.99,25163.3069,2973101.0
2022-08-31,34.16,25289.1604,5469466.0
2022-09-01,34.04,25200.3226,2475281.0
2022-09-02,33.87,25074.4691,3314673.0
